-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        cudaGraphLaunch         5.33%      41.983ms         5.33%      41.983ms     117.599us     850.107us         0.26%     850.107us       2.381us           357  
                                  Lazy Function Loading         0.02%     191.574us         0.02%     191.574us      38.315us     776.314us         0.23%     776.314us     155.263us             5  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     775.261us         0.23%     775.261us       3.257us           238  
               nvjet_tst_112x128_64x7_2x1_v_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     692.924us         0.21%     692.924us      24.747us            28  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     623.932us         0.19%     623.932us       4.457us           140  
                     nvjet_tst_168x64_64x7_1x2_h_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     619.580us         0.19%     619.580us      22.128us            28  
                nvjet_tst_144x64_64x8_1x2_h_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     614.802us         0.19%     614.802us      21.957us            28  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     581.978us         0.18%     581.978us      13.857us            42  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     567.420us         0.17%     567.420us       2.895us           196  
                nvjet_tst_128x72_64x8_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     543.420us         0.16%     543.420us      19.408us            28  
                nvjet_tst_112x64_64x9_2x1_v_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     540.318us         0.16%     540.318us      19.297us            28  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us     533.823us         0.16%     533.823us       3.068us           174  
                nvjet_tst_64x136_64x8_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     523.868us         0.16%     523.868us      18.710us            28  
