-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
              nvjet_tst_128x56_64x9_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.954ms         0.31%       2.954ms      52.741us            56  
                                  cudaStreamIsCapturing         0.24%       2.962ms         0.24%       2.962ms       0.591us       2.915ms         0.30%       2.915ms       0.582us          5009  
             nvjet_tst_128x24_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.801ms         0.29%       2.801ms      50.025us            56  
                     nvjet_tst_192x88_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.760ms         0.29%       2.760ms      98.587us            28  
                     nvjet_tst_192x80_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.754ms         0.29%       2.754ms      98.346us            28  
                     nvjet_tst_192x40_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.745ms         0.29%       2.745ms      98.052us            28  
                     nvjet_tst_192x72_64x6_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.736ms         0.29%       2.736ms      97.713us            28  
                     nvjet_tst_192x48_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.736ms         0.29%       2.736ms      97.699us            28  
                     nvjet_tst_192x16_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.704ms         0.28%       2.704ms      96.555us            28  
                                  Lazy Function Loading         0.04%     471.010us         0.04%     471.010us      47.101us       2.683ms         0.28%       2.683ms     268.268us            10  
                      nvjet_tst_192x8_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.675ms         0.28%       2.675ms      95.553us            28  
                nvjet_tst_128x56_64x9_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.631ms         0.27%       2.631ms      18.795us           140  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.594ms         0.27%       2.594ms       4.028us           644  
                                           aten::argmax         0.67%       8.305ms         0.88%      10.907ms      59.603us       2.502ms         0.26%       2.502ms      13.673us           183  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.298ms         0.24%       2.298ms       3.419us           672  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.216ms         0.23%       2.216ms       2.833us           782  
                nvjet_tst_72x64_64x12_1x2_h_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       1.900ms         0.20%       1.900ms      16.969us           112  
             nvjet_tst_128x16_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.724ms         0.18%       1.724ms      30.787us            56  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       1.681ms         0.18%       1.681ms       2.610us           644  
             nvjet_tst_128x112_64x7_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.572ms         0.16%       1.572ms      56.137us            28  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.548ms         0.16%       1.548ms      11.219us           138  
              nvjet_tst_128x88_64x7_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.529ms         0.16%       1.529ms      54.617us            28  
              nvjet_tst_128x80_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.519ms         0.16%       1.519ms      54.233us            28  
              nvjet_tst_128x72_64x8_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.509ms         0.16%       1.509ms      53.884us            28  
             nvjet_tst_128x40_64x10_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.442ms         0.15%       1.442ms      51.498us            28  
              nvjet_tst_128x48_64x9_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.434ms         0.15%       1.434ms      51.214us            28  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.338ms         0.14%       1.338ms      47.770us            28  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.216ms         0.13%       1.216ms       2.604us           467  
              nvjet_tst_192x128_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.154ms         0.12%       1.154ms     384.766us             3  
                    nvjet_tst_128x120_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.145ms         0.12%       1.145ms     381.737us             3  
                     nvjet_tst_64x80_64x11_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.068ms         0.11%       1.068ms      12.720us            84  
                     nvjet_tst_64x64_64x13_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.063ms         0.11%       1.063ms      12.660us            84  
                     nvjet_tst_64x56_64x14_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.036ms         0.11%       1.036ms      12.336us            84  
                                            aten::index         0.37%       4.554ms         1.14%      14.151ms      56.833us     945.661us         0.10%       1.269ms       5.098us           249  
               nvjet_tst_64x104_64x10_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     939.195us         0.10%     939.195us      16.771us            56  
                                              aten::sub         0.29%       3.570ms         0.53%       6.579ms      11.285us     911.838us         0.10%     911.838us       1.564us           583  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     894.014us         0.09%     894.014us      13.343us            67  
                nvjet_tst_64x56_64x14_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     856.731us         0.09%     856.731us      15.299us            56  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     826.240us         0.09%     826.240us       1.679us           492  
                nvjet_tst_64x24_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     824.189us         0.09%     824.189us      14.718us            56  
                                           aten::gather         0.15%       1.839ms         0.24%       2.986ms      20.738us     788.442us         0.08%     788.442us       5.475us           144  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.236s
Self CUDA time total: 957.883ms

