-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.114ms         0.26%       1.114ms       3.615us           308  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us     990.942us         0.23%     990.942us       2.915us           340  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us     899.613us         0.21%     899.613us       3.102us           290  
                     nvjet_tst_128x72_64x8_2x4_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     868.063us         0.20%     868.063us      15.501us            56  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us     772.734us         0.18%     772.734us       2.760us           280  
               nvjet_tst_384x64_64x3_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     757.310us         0.17%     757.310us     378.655us             2  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     713.695us         0.16%     713.695us      11.895us            60  
                                        cudaGraphLaunch         6.43%      46.014ms         6.43%      46.014ms      84.274us     621.951us         0.14%     621.951us       1.139us           546  
                nvjet_tst_128x80_64x8_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     573.503us         0.13%     573.503us      20.482us            28  
                                       cuLaunchKernelEx         0.78%       5.586ms         0.80%       5.744ms      34.191us     552.928us         0.13%       1.715ms      10.208us           168  
                nvjet_tst_112x64_64x9_2x1_v_bz_bias_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     545.631us         0.13%     545.631us      19.487us            28  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     532.544us         0.12%     532.544us       2.636us           202  
                nvjet_tst_64x136_64x8_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     519.456us         0.12%     519.456us      18.552us            28  
                     nvjet_tst_96x64_64x10_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     476.832us         0.11%     476.832us      17.030us            28  
               nvjet_tst_64x104_64x10_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     466.047us         0.11%     466.047us      16.645us            28  
                nvjet_tst_64x72_64x12_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     439.741us         0.10%     439.741us      15.705us            28  
