-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     nvjet_tst_192x16_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.693ms         0.28%       2.693ms      96.168us            28  
                     nvjet_tst_192x24_64x7_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.674ms         0.28%       2.674ms      95.482us            28  
                      nvjet_tst_192x8_64x8_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       2.670ms         0.28%       2.670ms      95.364us            28  
                                           aten::argmax         1.46%      15.539ms         1.73%      18.422ms      85.684us       2.596ms         0.27%       2.596ms      12.077us           215  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us       2.536ms         0.26%       2.536ms       3.354us           756  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us       2.460ms         0.26%       2.460ms       3.142us           783  
                                  cudaStreamIsCapturing         0.14%       1.520ms         0.14%       1.520ms       0.683us       2.387ms         0.25%       2.387ms       1.073us          2225  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.271ms         0.24%       2.271ms       2.474us           918  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.270ms         0.24%       2.270ms       2.896us           784  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us       2.031ms         0.21%       2.031ms       2.687us           756  
                                        cudaGraphLaunch         8.64%      91.963ms         9.27%      98.683ms      63.218us       1.966ms         0.21%       1.966ms       1.260us          1561  
                     nvjet_tst_384x56_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.883ms         0.20%       1.883ms     376.655us             5  
                nvjet_tst_64x80_64x11_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.780ms         0.19%       1.780ms      15.890us           112  
             nvjet_tst_128x16_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.723ms         0.18%       1.723ms      30.775us            56  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.689ms         0.18%       1.689ms      10.426us           162  
              nvjet_tst_128x96_64x7_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.545ms         0.16%       1.545ms      55.167us            28  
              nvjet_tst_128x88_64x7_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.530ms         0.16%       1.530ms      54.652us            28  
             nvjet_tst_128x40_64x10_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.440ms         0.15%       1.440ms      51.426us            28  
              nvjet_tst_128x48_64x9_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.439ms         0.15%       1.439ms      51.376us            28  
             nvjet_tst_128x24_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.409ms         0.15%       1.409ms      50.304us            28  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       1.339ms         0.14%       1.339ms      47.828us            28  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.049ms         0.11%       1.049ms       1.928us           544  
                                              aten::sub         0.38%       4.024ms         0.69%       7.392ms      11.082us       1.032ms         0.11%       1.032ms       1.547us           667  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     928.694us         0.10%     928.694us       1.658us           560  
                                           aten::gather         0.17%       1.833ms         0.29%       3.075ms      18.635us     907.353us         0.09%     907.353us       5.499us           165  
                                            aten::index         0.47%       5.051ms         1.44%      15.293ms      52.194us     907.004us         0.09%       1.286ms       4.388us           293  
                nvjet_tst_64x56_64x14_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     858.678us         0.09%     858.678us      15.334us            56  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     843.354us         0.09%     843.354us       6.024us           140  
                nvjet_tst_64x32_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     829.977us         0.09%     829.977us      14.821us            56  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     798.678us         0.08%     798.678us       1.953us           409  
               nvjet_tst_384x64_64x3_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     757.177us         0.08%     757.177us     378.588us             2  
                     nvjet_tst_384x32_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     740.728us         0.08%     740.728us     370.364us             2  
                                              aten::mul         0.27%       2.840ms         0.49%       5.179ms      13.348us     731.095us         0.08%     731.095us       1.884us           388  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     726.422us         0.08%     726.422us       1.625us           447  
                     nvjet_tst_64x48_64x15_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     708.761us         0.07%     708.761us      12.656us            56  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     700.279us         0.07%     700.279us      13.213us            53  
                     nvjet_tst_64x56_64x14_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     682.490us         0.07%     682.490us      12.187us            56  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.064s
Self CUDA time total: 958.219ms

