-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clamp         0.03%       1.092ms         0.04%       1.629ms      11.309us     179.745us         0.00%     179.745us       1.248us           144  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     178.784us         0.00%     178.784us       1.862us            96  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     172.606us         0.00%     172.606us       0.899us           192  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     166.208us         0.00%     166.208us       1.279us           130  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     151.261us         0.00%     151.261us       1.282us           118  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     149.984us         0.00%     149.984us       1.282us           117  
                                     aten::floor_divide         0.01%     573.005us         0.03%       1.140ms      13.108us     143.681us         0.00%     143.681us       1.652us            87  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     143.681us         0.00%     143.681us       1.652us            87  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     129.024us         0.00%     129.024us       1.344us            96  
                                               aten::ge         0.02%     768.784us         0.03%       1.113ms      12.796us     127.840us         0.00%     127.840us       1.469us            87  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     127.840us         0.00%     127.840us       1.469us            87  
                                               aten::eq         0.04%       1.682ms         0.07%       2.831ms      14.743us     119.040us         0.00%     119.040us       0.620us           192  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     119.040us         0.00%     119.040us       1.240us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     113.600us         0.00%     113.600us       1.276us            89  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     105.985us         0.00%     105.985us       1.218us            87  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     105.183us         0.00%     105.183us       0.884us           119  
                                            aten::fill_         0.02%     787.599us         0.03%       1.289ms       5.096us     100.895us         0.00%     100.895us       0.399us           253  
                             gpu_model_runner: bookkeep         0.00%       0.000us         0.00%       0.000us       0.000us      95.903us         0.00%      95.903us       3.197us            30  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      84.415us         0.00%      84.415us       2.911us            29  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      81.087us         0.00%      81.087us       3.526us            23  
                                     aten::masked_fill_         0.01%     297.215us         0.01%     510.340us       8.506us      80.097us         0.00%      80.097us       1.335us            60  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      80.097us         0.00%      80.097us       1.335us            60  
                                           aten::cumsum         0.02%     631.625us         0.08%       2.973ms      99.085us      79.393us         0.00%     127.359us       4.245us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      78.750us         0.00%      78.750us       1.312us            60  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      78.463us         0.00%      78.463us       0.801us            98  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      77.568us         0.00%      77.568us       2.586us            30  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      75.679us         0.00%      75.679us       1.720us            44  
                                           aten::clamp_         0.01%     290.195us         0.01%     506.121us       8.879us      73.824us         0.00%      73.824us       1.295us            57  
                                          aten::minimum         0.01%     375.244us         0.02%     614.050us      10.773us      73.504us         0.00%      73.504us       1.290us            57  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      73.504us         0.00%      73.504us       1.290us            57  
                         rejection_greedy_sample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      54.048us         0.00%      54.048us       1.864us            29  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.631us         0.00%      53.631us       1.052us            51  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      52.768us         0.00%      52.768us       1.759us            30  
                 eagle_prepare_next_token_padded_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      51.071us         0.00%      51.071us       1.702us            30  
void at_cuda_detail::cub::detail::scan::DeviceScanKe...         0.00%       0.000us         0.00%       0.000us       0.000us      49.888us         0.00%      49.888us       1.663us            30  
                eagle_step_slot_mapping_metadata_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      49.598us         0.00%      49.598us       1.653us            30  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      48.609us         0.00%      48.609us       1.620us            30  
                                        aten::remainder         0.01%     309.260us         0.01%     434.618us      14.487us      47.585us         0.00%      47.585us       1.586us            30  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      47.585us         0.00%      47.585us       1.586us            30  
                                Activity Buffer Request         0.32%      12.401ms         0.35%      13.621ms       1.513ms      46.527us         0.00%     219.935us      24.437us             9  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.932s
Self CUDA time total: 3.718s

