model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-32B,c4,0,46,512,0.063070
Qwen/Qwen3-32B,c4,0,46,2048,0.014780
Qwen/Qwen3-32B,c4,0,47,128,0.128376
Qwen/Qwen3-32B,c4,0,47,512,0.067507
Qwen/Qwen3-32B,c4,0,47,2048,0.015996
Qwen/Qwen3-32B,c4,0,48,128,0.259004
Qwen/Qwen3-32B,c4,0,48,512,0.121919
Qwen/Qwen3-32B,c4,0,48,2048,0.031419
Qwen/Qwen3-32B,c4,0,49,128,0.230378
Qwen/Qwen3-32B,c4,0,49,512,0.112274
Qwen/Qwen3-32B,c4,0,49,2048,0.034389
Qwen/Qwen3-32B,c4,0,50,128,0.252296
Qwen/Qwen3-32B,c4,0,50,512,0.171372
Qwen/Qwen3-32B,c4,0,50,2048,0.078354
Qwen/Qwen3-32B,c4,0,51,128,0.122081
Qwen/Qwen3-32B,c4,0,51,512,0.063052
Qwen/Qwen3-32B,c4,0,51,2048,0.033604
Qwen/Qwen3-32B,c4,0,52,128,0.120455
Qwen/Qwen3-32B,c4,0,52,512,0.064029
Qwen/Qwen3-32B,c4,0,52,2048,0.024109
Qwen/Qwen3-32B,c4,0,53,128,0.164128
Qwen/Qwen3-32B,c4,0,53,512,0.080900
Qwen/Qwen3-32B,c4,0,53,2048,0.009201
Qwen/Qwen3-32B,c4,0,54,128,0.820445
Qwen/Qwen3-32B,c4,0,54,512,0.663141
Qwen/Qwen3-32B,c4,0,54,2048,0.162394
Qwen/Qwen3-32B,c4,0,55,128,0.280742
Qwen/Qwen3-32B,c4,0,55,512,0.147799
Qwen/Qwen3-32B,c4,0,55,2048,0.034438
Qwen/Qwen3-32B,c4,0,56,128,0.469856
Qwen/Qwen3-32B,c4,0,56,512,0.299916
Qwen/Qwen3-32B,c4,0,56,2048,0.039933
Qwen/Qwen3-32B,c4,0,57,128,0.220221
Qwen/Qwen3-32B,c4,0,57,512,0.126290
Qwen/Qwen3-32B,c4,0,57,2048,0.010401
Qwen/Qwen3-32B,c4,0,58,128,0.221456
Qwen/Qwen3-32B,c4,0,58,512,0.131440
Qwen/Qwen3-32B,c4,0,58,2048,0.008305
Qwen/Qwen3-32B,c4,0,59,128,0.233294
Qwen/Qwen3-32B,c4,0,59,512,0.155516
Qwen/Qwen3-32B,c4,0,59,2048,0.023231
Qwen/Qwen3-32B,c4,0,60,128,0.170363
Qwen/Qwen3-32B,c4,0,60,512,0.105978
Qwen/Qwen3-32B,c4,0,60,2048,0.008223
Qwen/Qwen3-32B,c4,0,61,128,0.148969
Qwen/Qwen3-32B,c4,0,61,512,0.089861
Qwen/Qwen3-32B,c4,0,61,2048,0.005251
Qwen/Qwen3-32B,c4,0,62,128,0.180297
Qwen/Qwen3-32B,c4,0,62,512,0.112614
Qwen/Qwen3-32B,c4,0,62,2048,0.006338
Qwen/Qwen3-32B,c4,0,63,128,0.228376
Qwen/Qwen3-32B,c4,0,63,512,0.128518
Qwen/Qwen3-32B,c4,0,63,2048,0.008165
Qwen/Qwen3-32B,c4,1,0,128,0.544895
Qwen/Qwen3-32B,c4,1,0,512,0.369961
Qwen/Qwen3-32B,c4,1,0,2048,0.089280
Qwen/Qwen3-32B,c4,1,1,128,0.706850
Qwen/Qwen3-32B,c4,1,1,512,0.462026
Qwen/Qwen3-32B,c4,1,1,2048,0.080020
Qwen/Qwen3-32B,c4,1,2,128,0.462638
Qwen/Qwen3-32B,c4,1,2,512,0.308558
Qwen/Qwen3-32B,c4,1,2,2048,0.092218
Qwen/Qwen3-32B,c4,1,3,128,0.522876
Qwen/Qwen3-32B,c4,1,3,512,0.330088
