model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,1,10,2048,0.097251
Qwen/Qwen3-8B,cnndm,1,11,128,0.634654
Qwen/Qwen3-8B,cnndm,1,11,512,0.372229
Qwen/Qwen3-8B,cnndm,1,11,2048,0.110325
Qwen/Qwen3-8B,cnndm,1,12,128,0.401680
Qwen/Qwen3-8B,cnndm,1,12,512,0.232949
Qwen/Qwen3-8B,cnndm,1,12,2048,0.057800
Qwen/Qwen3-8B,cnndm,1,13,128,0.603669
Qwen/Qwen3-8B,cnndm,1,13,512,0.408113
Qwen/Qwen3-8B,cnndm,1,13,2048,0.107119
Qwen/Qwen3-8B,cnndm,1,14,128,0.549016
Qwen/Qwen3-8B,cnndm,1,14,512,0.320634
Qwen/Qwen3-8B,cnndm,1,14,2048,0.061089
Qwen/Qwen3-8B,cnndm,1,15,128,0.433345
Qwen/Qwen3-8B,cnndm,1,15,512,0.250954
Qwen/Qwen3-8B,cnndm,1,15,2048,0.056767
Qwen/Qwen3-8B,cnndm,1,16,128,0.411860
Qwen/Qwen3-8B,cnndm,1,16,512,0.210386
Qwen/Qwen3-8B,cnndm,1,16,2048,0.039521
Qwen/Qwen3-8B,cnndm,1,17,128,0.835204
Qwen/Qwen3-8B,cnndm,1,17,512,0.652552
Qwen/Qwen3-8B,cnndm,1,17,2048,0.188127
Qwen/Qwen3-8B,cnndm,1,18,128,0.726392
Qwen/Qwen3-8B,cnndm,1,18,512,0.419363
Qwen/Qwen3-8B,cnndm,1,18,2048,0.078023
Qwen/Qwen3-8B,cnndm,1,19,128,0.374744
Qwen/Qwen3-8B,cnndm,1,19,512,0.203902
Qwen/Qwen3-8B,cnndm,1,19,2048,0.040276
Qwen/Qwen3-8B,cnndm,1,20,128,0.645524
Qwen/Qwen3-8B,cnndm,1,20,512,0.312264
Qwen/Qwen3-8B,cnndm,1,20,2048,0.047515
Qwen/Qwen3-8B,cnndm,1,21,128,0.136958
Qwen/Qwen3-8B,cnndm,1,21,512,0.061811
Qwen/Qwen3-8B,cnndm,1,21,2048,0.004001
Qwen/Qwen3-8B,cnndm,1,22,128,0.418905
Qwen/Qwen3-8B,cnndm,1,22,512,0.225057
Qwen/Qwen3-8B,cnndm,1,22,2048,0.041645
Qwen/Qwen3-8B,cnndm,1,23,128,0.388916
Qwen/Qwen3-8B,cnndm,1,23,512,0.208089
Qwen/Qwen3-8B,cnndm,1,23,2048,0.032135
Qwen/Qwen3-8B,cnndm,1,24,128,0.116888
Qwen/Qwen3-8B,cnndm,1,24,512,0.013431
Qwen/Qwen3-8B,cnndm,1,24,2048,0.000161
Qwen/Qwen3-8B,cnndm,1,25,128,0.027538
Qwen/Qwen3-8B,cnndm,1,25,512,0.009930
Qwen/Qwen3-8B,cnndm,1,25,2048,0.000161
Qwen/Qwen3-8B,cnndm,1,26,128,0.468134
Qwen/Qwen3-8B,cnndm,1,26,512,0.241679
Qwen/Qwen3-8B,cnndm,1,26,2048,0.035828
Qwen/Qwen3-8B,cnndm,1,27,128,0.501899
Qwen/Qwen3-8B,cnndm,1,27,512,0.326929
Qwen/Qwen3-8B,cnndm,1,27,2048,0.063793
Qwen/Qwen3-8B,cnndm,1,28,128,0.899330
Qwen/Qwen3-8B,cnndm,1,28,512,0.594174
Qwen/Qwen3-8B,cnndm,1,28,2048,0.120605
Qwen/Qwen3-8B,cnndm,1,29,128,0.376949
