model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,1,7,2048,0.045773
Qwen/Qwen3-8B,cnndm,1,7,4096,0.026062
Qwen/Qwen3-8B,cnndm,1,8,128,0.600033
Qwen/Qwen3-8B,cnndm,1,8,512,0.437158
Qwen/Qwen3-8B,cnndm,1,8,2048,0.227779
Qwen/Qwen3-8B,cnndm,1,8,4096,0.090795
Qwen/Qwen3-8B,cnndm,1,9,128,0.297471
Qwen/Qwen3-8B,cnndm,1,9,512,0.170638
Qwen/Qwen3-8B,cnndm,1,9,2048,0.078236
Qwen/Qwen3-8B,cnndm,1,9,4096,0.043109
Qwen/Qwen3-8B,cnndm,1,10,128,0.809421
Qwen/Qwen3-8B,cnndm,1,10,512,0.584943
Qwen/Qwen3-8B,cnndm,1,10,2048,0.335638
Qwen/Qwen3-8B,cnndm,1,10,4096,0.197323
Qwen/Qwen3-8B,cnndm,1,11,128,0.714787
Qwen/Qwen3-8B,cnndm,1,11,512,0.512975
Qwen/Qwen3-8B,cnndm,1,11,2048,0.307859
Qwen/Qwen3-8B,cnndm,1,11,4096,0.169783
Qwen/Qwen3-8B,cnndm,1,12,128,0.452602
Qwen/Qwen3-8B,cnndm,1,12,512,0.298510
Qwen/Qwen3-8B,cnndm,1,12,2048,0.118862
Qwen/Qwen3-8B,cnndm,1,12,4096,0.053131
Qwen/Qwen3-8B,cnndm,1,13,128,0.683693
Qwen/Qwen3-8B,cnndm,1,13,512,0.516064
Qwen/Qwen3-8B,cnndm,1,13,2048,0.214742
Qwen/Qwen3-8B,cnndm,1,13,4096,0.080737
Qwen/Qwen3-8B,cnndm,1,14,128,0.606993
Qwen/Qwen3-8B,cnndm,1,14,512,0.403126
Qwen/Qwen3-8B,cnndm,1,14,2048,0.153452
Qwen/Qwen3-8B,cnndm,1,14,4096,0.075475
Qwen/Qwen3-8B,cnndm,1,15,128,0.491874
Qwen/Qwen3-8B,cnndm,1,15,512,0.328708
Qwen/Qwen3-8B,cnndm,1,15,2048,0.141487
Qwen/Qwen3-8B,cnndm,1,15,4096,0.078037
Qwen/Qwen3-8B,cnndm,1,16,128,0.469342
Qwen/Qwen3-8B,cnndm,1,16,512,0.283706
Qwen/Qwen3-8B,cnndm,1,16,2048,0.117147
Qwen/Qwen3-8B,cnndm,1,16,4096,0.047160
Qwen/Qwen3-8B,cnndm,1,17,128,0.925647
Qwen/Qwen3-8B,cnndm,1,17,512,0.838095
Qwen/Qwen3-8B,cnndm,1,17,2048,0.578963
Qwen/Qwen3-8B,cnndm,1,17,4096,0.398564
Qwen/Qwen3-8B,cnndm,1,18,128,0.804609
Qwen/Qwen3-8B,cnndm,1,18,512,0.547634
Qwen/Qwen3-8B,cnndm,1,18,2048,0.227649
Qwen/Qwen3-8B,cnndm,1,18,4096,0.101854
Qwen/Qwen3-8B,cnndm,1,19,128,0.434180
Qwen/Qwen3-8B,cnndm,1,19,512,0.279254
Qwen/Qwen3-8B,cnndm,1,19,2048,0.128718
Qwen/Qwen3-8B,cnndm,1,19,4096,0.057662
Qwen/Qwen3-8B,cnndm,1,20,128,0.715608
Qwen/Qwen3-8B,cnndm,1,20,512,0.420239
Qwen/Qwen3-8B,cnndm,1,20,2048,0.165324
Qwen/Qwen3-8B,cnndm,1,20,4096,0.088503
Qwen/Qwen3-8B,cnndm,1,21,128,0.153903
Qwen/Qwen3-8B,cnndm,1,21,512,0.082737
Qwen/Qwen3-8B,cnndm,1,21,2048,0.029794
Qwen/Qwen3-8B,cnndm,1,21,4096,0.015936
Qwen/Qwen3-8B,cnndm,1,22,128,0.493936
Qwen/Qwen3-8B,cnndm,1,22,512,0.325060
Qwen/Qwen3-8B,cnndm,1,22,2048,0.157450
Qwen/Qwen3-8B,cnndm,1,22,4096,0.077856
Qwen/Qwen3-8B,cnndm,1,23,128,0.455090
Qwen/Qwen3-8B,cnndm,1,23,512,0.295617
Qwen/Qwen3-8B,cnndm,1,23,2048,0.131130
Qwen/Qwen3-8B,cnndm,1,23,4096,0.073382
Qwen/Qwen3-8B,cnndm,1,24,128,0.128635
Qwen/Qwen3-8B,cnndm,1,24,512,0.023159
Qwen/Qwen3-8B,cnndm,1,24,2048,0.010302
Qwen/Qwen3-8B,cnndm,1,24,4096,0.012792
Qwen/Qwen3-8B,cnndm,1,25,128,0.040010
Qwen/Qwen3-8B,cnndm,1,25,512,0.023032
Qwen/Qwen3-8B,cnndm,1,25,2048,0.014574
Qwen/Qwen3-8B,cnndm,1,25,4096,0.016939
Qwen/Qwen3-8B,cnndm,1,26,128,0.516172
Qwen/Qwen3-8B,cnndm,1,26,512,0.310365
Qwen/Qwen3-8B,cnndm,1,26,2048,0.104063
Qwen/Qwen3-8B,cnndm,1,26,4096,0.047452
Qwen/Qwen3-8B,cnndm,1,27,128,0.577301
Qwen/Qwen3-8B,cnndm,1,27,512,0.438894
Qwen/Qwen3-8B,cnndm,1,27,2048,0.209193
Qwen/Qwen3-8B,cnndm,1,27,4096,0.083093
Qwen/Qwen3-8B,cnndm,1,28,128,0.946134
Qwen/Qwen3-8B,cnndm,1,28,512,0.701864
Qwen/Qwen3-8B,cnndm,1,28,2048,0.296307
Qwen/Qwen3-8B,cnndm,1,28,4096,0.148844
Qwen/Qwen3-8B,cnndm,1,29,128,0.451996
Qwen/Qwen3-8B,cnndm,1,29,512,0.329915
Qwen/Qwen3-8B,cnndm,1,29,2048,0.185387
Qwen/Qwen3-8B,cnndm,1,29,4096,0.106715
Qwen/Qwen3-8B,cnndm,1,30,128,0.429399
Qwen/Qwen3-8B,cnndm,1,30,512,0.269451
Qwen/Qwen3-8B,cnndm,1,30,2048,0.124795
Qwen/Qwen3-8B,cnndm,1,30,4096,0.073579
Qwen/Qwen3-8B,cnndm,1,31,128,0.463554
Qwen/Qwen3-8B,cnndm,1,31,512,0.331978
Qwen/Qwen3-8B,cnndm,1,31,2048,0.217951
Qwen/Qwen3-8B,cnndm,1,31,4096,0.124845
Qwen/Qwen3-8B,cnndm,2,0,128,0.717763
Qwen/Qwen3-8B,cnndm,2,0,512,0.562033
Qwen/Qwen3-8B,cnndm,2,0,2048,0.306089
Qwen/Qwen3-8B,cnndm,2,0,4096,0.182348
Qwen/Qwen3-8B,cnndm,2,1,128,0.777208
Qwen/Qwen3-8B,cnndm,2,1,512,0.637681
Qwen/Qwen3-8B,cnndm,2,1,2048,0.388577
Qwen/Qwen3-8B,cnndm,2,1,4096,0.212961
Qwen/Qwen3-8B,cnndm,2,2,128,0.801675
Qwen/Qwen3-8B,cnndm,2,2,512,0.649945
Qwen/Qwen3-8B,cnndm,2,2,2048,0.386959
Qwen/Qwen3-8B,cnndm,2,2,4096,0.217473
Qwen/Qwen3-8B,cnndm,2,3,128,0.728440
Qwen/Qwen3-8B,cnndm,2,3,512,0.568568
Qwen/Qwen3-8B,cnndm,2,3,2048,0.322849
Qwen/Qwen3-8B,cnndm,2,3,4096,0.180387
Qwen/Qwen3-8B,cnndm,2,4,128,0.159188
Qwen/Qwen3-8B,cnndm,2,4,512,0.104786
Qwen/Qwen3-8B,cnndm,2,4,2048,0.045702
Qwen/Qwen3-8B,cnndm,2,4,4096,0.017635
Qwen/Qwen3-8B,cnndm,2,5,128,0.444807
Qwen/Qwen3-8B,cnndm,2,5,512,0.331702
Qwen/Qwen3-8B,cnndm,2,5,2048,0.151761
Qwen/Qwen3-8B,cnndm,2,5,4096,0.063553
Qwen/Qwen3-8B,cnndm,2,6,128,0.339158
Qwen/Qwen3-8B,cnndm,2,6,512,0.254496
Qwen/Qwen3-8B,cnndm,2,6,2048,0.114915
Qwen/Qwen3-8B,cnndm,2,6,4096,0.039926
Qwen/Qwen3-8B,cnndm,2,7,128,0.425652
Qwen/Qwen3-8B,cnndm,2,7,512,0.342435
Qwen/Qwen3-8B,cnndm,2,7,2048,0.176985
Qwen/Qwen3-8B,cnndm,2,7,4096,0.072726
Qwen/Qwen3-8B,cnndm,2,8,128,0.490323
Qwen/Qwen3-8B,cnndm,2,8,512,0.309505
Qwen/Qwen3-8B,cnndm,2,8,2048,0.148491
Qwen/Qwen3-8B,cnndm,2,8,4096,0.060592
Qwen/Qwen3-8B,cnndm,2,9,128,0.485103
Qwen/Qwen3-8B,cnndm,2,9,512,0.292777
Qwen/Qwen3-8B,cnndm,2,9,2048,0.150068
Qwen/Qwen3-8B,cnndm,2,9,4096,0.063889
Qwen/Qwen3-8B,cnndm,2,10,128,0.604374
Qwen/Qwen3-8B,cnndm,2,10,512,0.391214
Qwen/Qwen3-8B,cnndm,2,10,2048,0.226168
Qwen/Qwen3-8B,cnndm,2,10,4096,0.098187
Qwen/Qwen3-8B,cnndm,2,11,128,0.424217
Qwen/Qwen3-8B,cnndm,2,11,512,0.163396
Qwen/Qwen3-8B,cnndm,2,11,2048,0.043236
Qwen/Qwen3-8B,cnndm,2,11,4096,0.020216
Qwen/Qwen3-8B,cnndm,2,12,128,0.464895
Qwen/Qwen3-8B,cnndm,2,12,512,0.267649
Qwen/Qwen3-8B,cnndm,2,12,2048,0.134026
Qwen/Qwen3-8B,cnndm,2,12,4096,0.048229
Qwen/Qwen3-8B,cnndm,2,13,128,0.403787
Qwen/Qwen3-8B,cnndm,2,13,512,0.235815
Qwen/Qwen3-8B,cnndm,2,13,2048,0.104479
Qwen/Qwen3-8B,cnndm,2,13,4096,0.047781
Qwen/Qwen3-8B,cnndm,2,14,128,0.436563
Qwen/Qwen3-8B,cnndm,2,14,512,0.267377
Qwen/Qwen3-8B,cnndm,2,14,2048,0.135670
Qwen/Qwen3-8B,cnndm,2,14,4096,0.058335
Qwen/Qwen3-8B,cnndm,2,15,128,0.641093
Qwen/Qwen3-8B,cnndm,2,15,512,0.402865
Qwen/Qwen3-8B,cnndm,2,15,2048,0.188962
Qwen/Qwen3-8B,cnndm,2,15,4096,0.087128
Qwen/Qwen3-8B,cnndm,2,16,128,0.715919
Qwen/Qwen3-8B,cnndm,2,16,512,0.511376
Qwen/Qwen3-8B,cnndm,2,16,2048,0.286747
Qwen/Qwen3-8B,cnndm,2,16,4096,0.130048
Qwen/Qwen3-8B,cnndm,2,17,128,0.617002
Qwen/Qwen3-8B,cnndm,2,17,512,0.425092
Qwen/Qwen3-8B,cnndm,2,17,2048,0.244679
Qwen/Qwen3-8B,cnndm,2,17,4096,0.093751
Qwen/Qwen3-8B,cnndm,2,18,128,0.603863
Qwen/Qwen3-8B,cnndm,2,18,512,0.429120
Qwen/Qwen3-8B,cnndm,2,18,2048,0.238976
Qwen/Qwen3-8B,cnndm,2,18,4096,0.099893
Qwen/Qwen3-8B,cnndm,2,19,128,0.572669
Qwen/Qwen3-8B,cnndm,2,19,512,0.465938
Qwen/Qwen3-8B,cnndm,2,19,2048,0.256918
Qwen/Qwen3-8B,cnndm,2,19,4096,0.121156
Qwen/Qwen3-8B,cnndm,2,20,128,0.554047
Qwen/Qwen3-8B,cnndm,2,20,512,0.430490
Qwen/Qwen3-8B,cnndm,2,20,2048,0.222594
Qwen/Qwen3-8B,cnndm,2,20,4096,0.116519
Qwen/Qwen3-8B,cnndm,2,21,128,0.730842
Qwen/Qwen3-8B,cnndm,2,21,512,0.553714
Qwen/Qwen3-8B,cnndm,2,21,2048,0.296866
Qwen/Qwen3-8B,cnndm,2,21,4096,0.156430
Qwen/Qwen3-8B,cnndm,2,22,128,0.555671
Qwen/Qwen3-8B,cnndm,2,22,512,0.431505
Qwen/Qwen3-8B,cnndm,2,22,2048,0.223878
Qwen/Qwen3-8B,cnndm,2,22,4096,0.119086
Qwen/Qwen3-8B,cnndm,2,23,128,0.600043
Qwen/Qwen3-8B,cnndm,2,23,512,0.491655
Qwen/Qwen3-8B,cnndm,2,23,2048,0.254997
Qwen/Qwen3-8B,cnndm,2,23,4096,0.136201
Qwen/Qwen3-8B,cnndm,2,24,128,0.316266
Qwen/Qwen3-8B,cnndm,2,24,512,0.244623
Qwen/Qwen3-8B,cnndm,2,24,2048,0.101727
Qwen/Qwen3-8B,cnndm,2,24,4096,0.051242
Qwen/Qwen3-8B,cnndm,2,25,128,0.262919
Qwen/Qwen3-8B,cnndm,2,25,512,0.193292
Qwen/Qwen3-8B,cnndm,2,25,2048,0.077928
Qwen/Qwen3-8B,cnndm,2,25,4096,0.042651
Qwen/Qwen3-8B,cnndm,2,26,128,0.282392
Qwen/Qwen3-8B,cnndm,2,26,512,0.204167
Qwen/Qwen3-8B,cnndm,2,26,2048,0.080281
Qwen/Qwen3-8B,cnndm,2,26,4096,0.040583
Qwen/Qwen3-8B,cnndm,2,27,128,0.395075
Qwen/Qwen3-8B,cnndm,2,27,512,0.298091
Qwen/Qwen3-8B,cnndm,2,27,2048,0.134493
Qwen/Qwen3-8B,cnndm,2,27,4096,0.072920
Qwen/Qwen3-8B,cnndm,2,28,128,0.843601
Qwen/Qwen3-8B,cnndm,2,28,512,0.701704
Qwen/Qwen3-8B,cnndm,2,28,2048,0.469442
Qwen/Qwen3-8B,cnndm,2,28,4096,0.287999
Qwen/Qwen3-8B,cnndm,2,29,128,0.859295
Qwen/Qwen3-8B,cnndm,2,29,512,0.588925
Qwen/Qwen3-8B,cnndm,2,29,2048,0.261106
Qwen/Qwen3-8B,cnndm,2,29,4096,0.119832
Qwen/Qwen3-8B,cnndm,2,30,128,0.926716
Qwen/Qwen3-8B,cnndm,2,30,512,0.814367
Qwen/Qwen3-8B,cnndm,2,30,2048,0.482840
Qwen/Qwen3-8B,cnndm,2,30,4096,0.260381
Qwen/Qwen3-8B,cnndm,2,31,128,0.807923
Qwen/Qwen3-8B,cnndm,2,31,512,0.645350
Qwen/Qwen3-8B,cnndm,2,31,2048,0.413761
Qwen/Qwen3-8B,cnndm,2,31,4096,0.245045
Qwen/Qwen3-8B,cnndm,3,0,128,0.470057
Qwen/Qwen3-8B,cnndm,3,0,512,0.187634
Qwen/Qwen3-8B,cnndm,3,0,2048,0.105844
Qwen/Qwen3-8B,cnndm,3,0,4096,0.068663
Qwen/Qwen3-8B,cnndm,3,1,128,0.091399
Qwen/Qwen3-8B,cnndm,3,1,512,0.069529
Qwen/Qwen3-8B,cnndm,3,1,2048,0.046336
Qwen/Qwen3-8B,cnndm,3,1,4096,0.025234
Qwen/Qwen3-8B,cnndm,3,2,128,0.102652
Qwen/Qwen3-8B,cnndm,3,2,512,0.081308
Qwen/Qwen3-8B,cnndm,3,2,2048,0.047151
Qwen/Qwen3-8B,cnndm,3,2,4096,0.023959
Qwen/Qwen3-8B,cnndm,3,3,128,0.205886
Qwen/Qwen3-8B,cnndm,3,3,512,0.168841
Qwen/Qwen3-8B,cnndm,3,3,2048,0.103373
Qwen/Qwen3-8B,cnndm,3,3,4096,0.050715
Qwen/Qwen3-8B,cnndm,3,4,128,0.899195
Qwen/Qwen3-8B,cnndm,3,4,512,0.787503
Qwen/Qwen3-8B,cnndm,3,4,2048,0.546863
Qwen/Qwen3-8B,cnndm,3,4,4096,0.349663
Qwen/Qwen3-8B,cnndm,3,5,128,0.865907
Qwen/Qwen3-8B,cnndm,3,5,512,0.809072
Qwen/Qwen3-8B,cnndm,3,5,2048,0.662072
Qwen/Qwen3-8B,cnndm,3,5,4096,0.505368
Qwen/Qwen3-8B,cnndm,3,6,128,0.803930
Qwen/Qwen3-8B,cnndm,3,6,512,0.612248
Qwen/Qwen3-8B,cnndm,3,6,2048,0.435397
Qwen/Qwen3-8B,cnndm,3,6,4096,0.293457
Qwen/Qwen3-8B,cnndm,3,7,128,0.751603
Qwen/Qwen3-8B,cnndm,3,7,512,0.688668
Qwen/Qwen3-8B,cnndm,3,7,2048,0.517206
Qwen/Qwen3-8B,cnndm,3,7,4096,0.346470
Qwen/Qwen3-8B,cnndm,3,8,128,0.607397
Qwen/Qwen3-8B,cnndm,3,8,512,0.372981
Qwen/Qwen3-8B,cnndm,3,8,2048,0.199824
Qwen/Qwen3-8B,cnndm,3,8,4096,0.104713
Qwen/Qwen3-8B,cnndm,3,9,128,0.655989
Qwen/Qwen3-8B,cnndm,3,9,512,0.464351
Qwen/Qwen3-8B,cnndm,3,9,2048,0.226142
Qwen/Qwen3-8B,cnndm,3,9,4096,0.120756
Qwen/Qwen3-8B,cnndm,3,10,128,0.723791
Qwen/Qwen3-8B,cnndm,3,10,512,0.489554
Qwen/Qwen3-8B,cnndm,3,10,2048,0.257722
Qwen/Qwen3-8B,cnndm,3,10,4096,0.123615
Qwen/Qwen3-8B,cnndm,3,11,128,0.567643
Qwen/Qwen3-8B,cnndm,3,11,512,0.377723
Qwen/Qwen3-8B,cnndm,3,11,2048,0.200341
Qwen/Qwen3-8B,cnndm,3,11,4096,0.132183
Qwen/Qwen3-8B,cnndm,3,12,128,0.899545
Qwen/Qwen3-8B,cnndm,3,12,512,0.840789
Qwen/Qwen3-8B,cnndm,3,12,2048,0.606135
Qwen/Qwen3-8B,cnndm,3,12,4096,0.396911
Qwen/Qwen3-8B,cnndm,3,13,128,0.762435
Qwen/Qwen3-8B,cnndm,3,13,512,0.580058
Qwen/Qwen3-8B,cnndm,3,13,2048,0.366457
Qwen/Qwen3-8B,cnndm,3,13,4096,0.214785
Qwen/Qwen3-8B,cnndm,3,14,128,0.766399
Qwen/Qwen3-8B,cnndm,3,14,512,0.647986
Qwen/Qwen3-8B,cnndm,3,14,2048,0.480327
Qwen/Qwen3-8B,cnndm,3,14,4096,0.308825
Qwen/Qwen3-8B,cnndm,3,15,128,0.794196
Qwen/Qwen3-8B,cnndm,3,15,512,0.569261
Qwen/Qwen3-8B,cnndm,3,15,2048,0.351377
Qwen/Qwen3-8B,cnndm,3,15,4096,0.237940
Qwen/Qwen3-8B,cnndm,3,16,128,0.626875
Qwen/Qwen3-8B,cnndm,3,16,512,0.515878
Qwen/Qwen3-8B,cnndm,3,16,2048,0.318408
Qwen/Qwen3-8B,cnndm,3,16,4096,0.186840
Qwen/Qwen3-8B,cnndm,3,17,128,0.535920
Qwen/Qwen3-8B,cnndm,3,17,512,0.424661
Qwen/Qwen3-8B,cnndm,3,17,2048,0.278972
Qwen/Qwen3-8B,cnndm,3,17,4096,0.167008
